iter	Logloss
0	0.6482675417
1	0.6070498223
2	0.5692507631
3	0.5345961857
4	0.503046398
5	0.4742375683
6	0.4477788325
7	0.4234332349
8	0.4014245407
9	0.3812958196
10	0.362839625
11	0.3460784332
12	0.3307609265
13	0.3168196274
14	0.3040362393
15	0.2923945933
16	0.2814936662
17	0.2715820589
18	0.2625307819
19	0.2541824218
20	0.2465549082
21	0.2395226611
22	0.2330122243
23	0.2271707502
24	0.2217824669
25	0.216752511
26	0.2122064008
27	0.2079813809
28	0.2040871831
29	0.2004798396
30	0.1971569667
31	0.1941206455
32	0.1911999707
33	0.1885429056
34	0.1861449428
35	0.1838916064
36	0.1817772265
37	0.1798711122
38	0.178090885
39	0.176471514
40	0.1748998795
41	0.1734693489
42	0.1721795483
43	0.1709892576
44	0.16983432
45	0.1687561791
46	0.1677887552
47	0.1668444003
48	0.1659952424
49	0.1651899698
50	0.1644292081
51	0.1636962339
52	0.1630238544
53	0.1624165451
54	0.1618453246
55	0.16131508
56	0.1608092586
57	0.1603531796
58	0.1599272985
59	0.1595075307
60	0.159125605
61	0.1587769461
62	0.158442096
63	0.1581241659
64	0.1578332781
65	0.1575667622
66	0.1572964791
67	0.1570504794
68	0.1568173679
69	0.1566070409
70	0.1564087153
71	0.1562210713
72	0.1560524112
73	0.1558693257
74	0.1557040757
75	0.1555517711
76	0.1553952379
77	0.1552644772
78	0.1551427222
79	0.1550188745
80	0.1548916665
81	0.1547751692
82	0.1546780667
83	0.1545866839
84	0.1544957344
85	0.1544025758
86	0.1543190821
87	0.1542431866
88	0.1541806029
89	0.1541070611
90	0.1540405238
91	0.1539778021
92	0.1539218776
93	0.1538624706
94	0.1538088056
95	0.1537592385
96	0.1537071739
97	0.1536582587
98	0.1536227639
99	0.1535829066
100	0.1535450133
101	0.1535048777
102	0.153465453
103	0.1534305333
104	0.1534034799
105	0.1533730754
106	0.1533444889
107	0.1533161713
108	0.1532877544
109	0.1532627762
110	0.1532308719
111	0.1532078847
112	0.1531867311
113	0.1531663599
114	0.1531402844
115	0.1531155511
116	0.1530937909
117	0.1530765748
118	0.1530601399
119	0.1530399486
120	0.1530225682
121	0.1530108078
122	0.1529967527
123	0.152983528
124	0.1529673387
125	0.1529569592
126	0.1529453872
127	0.1529290786
128	0.1529146575
129	0.1528973544
130	0.1528828968
131	0.1528720961
132	0.1528662526
133	0.1528521455
134	0.1528382633
135	0.1528257763
136	0.1528123413
137	0.152801356
138	0.1527944245
139	0.1527836857
140	0.1527748076
141	0.1527656718
142	0.1527585204
143	0.1527488006
144	0.1527434803
145	0.152735927
146	0.1527275798
147	0.1527196666
148	0.15271615
149	0.1527075027
150	0.1526993348
151	0.1526915534
152	0.15268319
153	0.1526763049
154	0.1526684886
155	0.1526589712
156	0.1526478015
157	0.1526433381
158	0.1526336549
159	0.1526276016
160	0.1526205545
161	0.1526127784
162	0.1526025452
163	0.1525963086
164	0.1525899036
165	0.1525855587
166	0.1525770408
167	0.1525691856
168	0.1525636624
169	0.1525576877
170	0.1525492818
171	0.1525427069
172	0.1525343242
173	0.1525290518
174	0.1525271207
175	0.1525227125
176	0.1525222016
177	0.1525161623
178	0.1525101938
179	0.1525036322
180	0.1524992248
181	0.1524964421
182	0.1524944972
183	0.152490523
184	0.1524867727
185	0.1524824825
186	0.1524796585
187	0.1524747075
188	0.1524693481
189	0.1524668365
190	0.1524626024
191	0.1524579344
192	0.1524514391
193	0.1524465673
194	0.152439254
195	0.1524338241
196	0.1524333411
197	0.1524305402
198	0.1524270979
199	0.1524224495
200	0.1524175189
201	0.1524120765
202	0.1524102372
203	0.1524055584
204	0.1524013777
205	0.1523988827
206	0.1523947663
207	0.1523900842
208	0.1523843179
209	0.1523798754
210	0.1523768118
211	0.1523714177
212	0.152367493
213	0.1523645249
214	0.152358269
215	0.1523534774
216	0.1523478511
217	0.1523445483
218	0.1523422124
219	0.1523412276
220	0.1523411106
221	0.1523376813
222	0.1523322507
223	0.1523319162
224	0.1523285632
225	0.1523242165
226	0.1523201859
227	0.1523159809
228	0.1523126225
229	0.1523107288
230	0.1523066307
231	0.1523019681
232	0.1522986022
233	0.1522946449
234	0.1522896242
235	0.1522851295
236	0.1522808266
237	0.1522788112
238	0.1522759616
239	0.152273354
240	0.1522708935
241	0.1522648289
242	0.1522647535
243	0.1522609639
244	0.1522584572
245	0.152256736
246	0.152252654
247	0.1522492133
248	0.1522467734
249	0.1522420132
250	0.1522378914
251	0.152234773
252	0.1522305167
253	0.1522271892
254	0.1522242904
255	0.1522211162
256	0.1522183976
257	0.1522141657
258	0.15220974
259	0.1522066332
260	0.1522064534
261	0.1522043105
262	0.1521996631
263	0.1521958651
264	0.1521911301
265	0.1521878192
266	0.1521842241
267	0.152184181
268	0.1521817978
269	0.1521772568
270	0.1521751029
271	0.1521723598
272	0.1521706103
273	0.1521679245
274	0.1521626448
275	0.1521595656
276	0.1521562225
277	0.1521538213
278	0.1521512722
279	0.1521483773
280	0.1521483354
281	0.1521482916
282	0.1521452068
283	0.1521448258
284	0.1521406969
285	0.1521397414
286	0.1521360104
287	0.1521329228
288	0.1521305087
289	0.1521288551
290	0.1521244311
291	0.1521230196
292	0.1521186732
293	0.1521146168
294	0.1521114705
295	0.1521075099
296	0.1521043866
297	0.1521004645
298	0.1520963497
299	0.1520936964
300	0.1520934972
301	0.152090115
302	0.1520866889
303	0.1520838548
304	0.1520838254
305	0.1520810073
306	0.1520759668
307	0.1520737643
308	0.1520716993
309	0.1520689681
310	0.1520668471
311	0.1520656631
312	0.1520619454
313	0.152058955
314	0.152054209
315	0.1520507098
316	0.1520482161
317	0.1520443346
318	0.1520425601
319	0.1520399044
320	0.1520372833
321	0.1520331424
322	0.1520296498
323	0.1520279202
324	0.1520247594
325	0.1520216863
326	0.1520194044
327	0.1520154231
328	0.1520126862
329	0.1520113204
330	0.1520082689
331	0.1520048162
332	0.1520002868
333	0.1519985557
334	0.1519963859
335	0.1519962808
336	0.1519962541
337	0.1519947657
338	0.1519919075
339	0.151988985
340	0.1519889196
341	0.1519850564
342	0.1519814341
343	0.151978794
344	0.1519752856
345	0.1519708078
346	0.1519693985
347	0.1519645734
348	0.1519631482
349	0.1519605274
350	0.1519565481
351	0.1519537076
352	0.151952006
353	0.1519474208
354	0.1519443413
355	0.1519412147
356	0.151937218
357	0.1519346335
358	0.1519300997
359	0.1519266095
360	0.1519261552
361	0.1519260998
362	0.1519233507
363	0.1519192262
364	0.151917114
365	0.1519145826
366	0.1519132389
367	0.1519090861
368	0.1519074472
369	0.151904974
370	0.1519011957
371	0.1518983271
372	0.1518939715
373	0.1518938156
374	0.1518909317
375	0.1518878604
376	0.1518862024
377	0.1518836672
378	0.1518806779
379	0.1518805879
380	0.1518797964
381	0.1518769348
382	0.1518734743
383	0.1518715465
384	0.1518676307
385	0.1518636167
386	0.1518610707
387	0.1518582872
388	0.1518555948
389	0.1518536043
390	0.1518499063
391	0.1518468092
392	0.1518443759
393	0.15184341
394	0.1518421946
395	0.1518395837
396	0.1518379578
397	0.1518343968
398	0.1518315574
399	0.151827813
400	0.1518256557
401	0.1518223189
402	0.151820467
403	0.1518168609
404	0.1518146123
405	0.151813985
406	0.1518120279
407	0.1518100623
408	0.1518087719
409	0.1518072681
410	0.1518052618
411	0.1518045354
412	0.1518032567
413	0.1518000528
414	0.1517961011
415	0.151793527
416	0.1517906316
417	0.1517894068
418	0.1517876131
419	0.1517857707
420	0.1517831608
421	0.1517820643
422	0.1517788036
423	0.1517758329
424	0.151775783
425	0.1517744969
426	0.1517722567
427	0.1517702816
428	0.1517659652
429	0.151762281
430	0.1517600273
431	0.1517569657
432	0.1517554006
433	0.1517520341
434	0.1517501789
435	0.1517486618
436	0.1517453223
437	0.1517447299
438	0.1517400777
439	0.1517381688
440	0.1517341067
441	0.151731043
442	0.1517279753
443	0.1517254484
444	0.1517222846
445	0.1517200002
446	0.151719995
447	0.1517176954
448	0.151715266
449	0.1517150985
450	0.1517106473
451	0.1517071112
452	0.1517059066
453	0.1517049136
454	0.1517019689
455	0.1517019509
456	0.1516986575
457	0.1516968307
458	0.1516943177
459	0.151694274
460	0.1516899761
461	0.1516860331
462	0.1516834666
463	0.1516810751
464	0.1516786904
465	0.1516786862
466	0.1516758537
467	0.1516747908
468	0.1516712959
469	0.1516695049
470	0.151669367
471	0.1516688003
472	0.1516672945
473	0.151665577
474	0.1516638748
475	0.1516618342
476	0.1516608793
477	0.1516608416
478	0.1516598305
479	0.1516581297
480	0.1516549881
481	0.1516549816
482	0.1516549786
483	0.1516514072
484	0.1516473736
485	0.1516446867
486	0.1516429843
487	0.1516412288
488	0.1516386487
489	0.1516366745
490	0.1516340404
491	0.1516325952
492	0.1516303393
493	0.1516282465
494	0.151626702
495	0.1516256643
496	0.1516242647
497	0.1516242316
498	0.1516241873
499	0.1516212425
